ClickID,UserID,FeatureID,ClickTimestamp,TimeSpentSeconds
C1000052,U105615,F1208,2/26/2024 1:45,218
C1000053,U102844,F1124,4/3/2024 4:35,64
C1000054,U105623,F1286,1/19/2024 8:12,106
C1000055,U104590,F1084,4/13/2024 11:05,160
C1000056,U104948,F1208,9/27/2024 20:03,266
C1000057,U105190,F1233,5/2/2024 9:29,96
C1000058,U107884,F1042,2/27/2024 16:58,28
C1000059,U106332,F1283,7/11/2024 1:58,49
C1000060,U100662,F1250,3/26/2024 23:40,237
C1000061,U108199,F1166,4/19/2024 1:32,225
C1000062,U106475,F1192,3/29/2024 13:35,74
C1000063,U103087,F1066,9/12/2024 14:15,261
C1000064,U104761,F1206,11/10/2024 19:20,161
C1000065,U100668,F1035,3/13/2024 8:38,9
C1000066,U109477,F1285,4/18/2024 12:20,118
C1000067,U103620,F1278,3/13/2024 22:14,253
C1000068,U100160,F1174,7/2/2024 10:05,272
C1000069,U106460,F1010,5/26/2024 3:07,58
C1000070,U100017,F1018,3/7/2024 23:33,254
C1000071,U102533,F1189,9/24/2024 13:18,75
C1000072,U106510,F1071,11/15/2024 15:05,74
C1000073,U104446,F1298,6/5/2024 5:44,231
C1000074,U105554,F1074,9/11/2024 11:28,158
C1000075,U102918,F1136,12/30/2024 16:48,261
C1000076,U109245,F1237,11/4/2024 18:04,159
C1000077,U100315,F1280,10/12/2024 11:19,224
C1000078,U104832,F1286,8/29/2024 4:31,163
C1000079,U102211,F1140,9/5/2024 23:06,185
C1000080,U107069,F1157,5/16/2024 9:18,120
C1000081,U108511,F1200,10/27/2024 2:54,52
C1000082,U105133,F1028,12/5/2024 5:06,142
C1000083,U106422,F1094,9/1/2024 3:37,160
C1000084,U104527,F1273,7/27/2024 14:54,272
C1000085,U102715,F1130,3/23/2024 8:18,275
C1000086,U108825,F1246,5/31/2024 19:42,70
C1000087,U109897,F1034,3/23/2024 8:30,121
C1000088,U106665,F1131,6/3/2024 14:49,194
C1000089,U107107,F1296,9/23/2024 3:47,175
C1000090,U105132,F1113,2/11/2024 13:55,27
C1000091,U108864,F1089,8/24/2024 19:17,10
C1000092,U108662,F1222,3/19/2024 4:58,190
C1000093,U106782,F1285,4/22/2024 17:38,199
C1000094,U102607,F1086,7/2/2024 12:38,270
C1000095,U103332,F1221,4/8/2024 3:56,200
C1000096,U104697,F1266,3/22/2024 14:24,65
C1000097,U109574,F1032,2/13/2024 4:31,145
C1000098,U106745,F1293,10/8/2024 22:10,96
C1000099,U105634,F1237,9/6/2024 2:20,99
C1000100,U106260,F1004,4/8/2024 8:14,213
C1000101,U101185,F1186,9/28/2024 12:45,149
C1000102,U106995,F1247,6/2/2024 11:37,144
C1000103,U106109,F1098,4/23/2024 16:39,177
C1000104,U106441,F1050,3/25/2024 7:28,131
C1000105,U100915,F1064,3/29/2024 8:15,118
C1000106,U107464,F1195,2/21/2024 2:19,172
C1000107,U101617,F1057,9/2/2024 6:04,207
C1000108,U109875,F1175,6/15/2024 11:50,142
C1000109,U102425,F1185,6/30/2024 23:22,232
C1000110,U100425,F1164,7/9/2024 6:08,87
C1000111,U101787,F1134,4/20/2024 6:47,6
C1000112,U102584,F1059,11/8/2024 19:33,257
C1000113,U104648,F1288,11/21/2024 16:37,17
C1000114,U100168,F1178,7/16/2024 7:56,44
C1000115,U100514,F1122,9/5/2024 21:40,69
C1000116,U103435,F1293,5/8/2024 17:17,210
C1000117,U104525,F1243,5/6/2024 2:21,148
C1000118,U102616,F1281,5/18/2024 6:36,179
C1000119,U108882,F1297,9/18/2024 15:42,221
C1000120,U103204,F1076,11/20/2024 22:57,127
C1000121,U107765,F1086,5/2/2024 13:12,106
C1000122,U108544,F1079,2/4/2024 2:06,11
C1000123,U101117,F1084,2/14/2024 22:36,226
C1000124,U101405,F1273,7/28/2024 7:57,21
C1000125,U105414,F1264,12/26/2024 19:52,106
C1000126,U106341,F1110,4/18/2024 23:09,238
C1000127,U104174,F1272,3/15/2024 7:24,177
C1000128,U100677,F1104,11/2/2024 2:56,191
C1000129,U108742,F1264,7/16/2024 13:08,242
C1000130,U109011,F1163,10/4/2024 19:33,36
C1000131,U100213,F1135,7/31/2024 13:41,261
C1000132,U101666,F1189,11/20/2024 5:12,108
C1000133,U109085,F1251,2/4/2024 9:57,12
C1000134,U104254,F1213,4/17/2024 17:55,290
C1000135,U102786,F1121,1/4/2024 7:25,231
C1000136,U108213,F1217,12/17/2024 21:13,223
C1000137,U105860,F1169,9/29/2024 22:51,60
C1000138,U101261,F1257,6/8/2024 21:58,266
C1000139,U101172,F1158,4/26/2024 21:53,164
C1000140,U104880,F1075,3/4/2024 19:27,72
C1000141,U102054,F1274,11/25/2024 21:42,32
C1000142,U102815,F1120,9/4/2024 9:50,219
C1000143,U104674,F1239,10/4/2024 23:05,17
C1000144,U105196,F1064,4/21/2024 6:32,91
C1000145,U104584,F1187,5/7/2024 9:55,298
C1000146,U105021,F1097,7/27/2024 1:24,284
C1000147,U106230,F1271,2/23/2024 0:18,272
C1000148,U109979,F1104,9/25/2024 12:03,269
C1000149,U102631,F1134,12/13/2024 18:15,261
C1000150,U106345,F1195,3/28/2024 2:11,85
C1000151,U108096,F1230,4/2/2024 5:57,292
C1000152,U106300,F1201,8/28/2024 0:46,73
C1000153,U107348,F1091,4/18/2024 8:48,124
C1000154,U105844,F1046,4/16/2024 3:26,235
C1000155,U102176,F1010,4/28/2024 8:46,267
C1000156,U105362,F1161,7/6/2024 15:10,267
C1000157,U108097,F1050,9/14/2024 3:05,156
C1000158,U105599,F1004,7/10/2024 9:10,219
C1000159,U109068,F1286,6/21/2024 22:48,92
C1000160,U104258,F1084,2/23/2024 18:31,194
C1000161,U109146,F1295,1/11/2024 12:33,268
C1000162,U104119,F1265,1/11/2024 1:48,177
C1000163,U106640,F1229,3/11/2024 16:15,219
C1000164,U104288,F1144,1/15/2024 5:56,236
C1000165,U100877,F1213,9/18/2024 3:53,115
C1000166,U104485,F1207,12/24/2024 19:24,23
C1000167,U102544,F1289,6/16/2024 15:23,23
C1000168,U105059,F1235,7/1/2024 2:54,295
C1000169,U107164,F1032,9/10/2024 16:45,14
C1000170,U102600,F1132,5/13/2024 5:50,176
C1000171,U103528,F1103,2/26/2024 20:25,144
C1000172,U102408,F1041,6/25/2024 1:21,190
C1000173,U104860,F1130,2/25/2024 17:44,156
C1000174,U103948,F1190,5/26/2024 7:00,267
C1000175,U109430,F1268,10/10/2024 2:39,242
C1000176,U102334,F1243,1/19/2024 16:05,280
C1000177,U100767,F1060,6/10/2024 13:11,275
C1000178,U104883,F1157,4/1/2024 0:32,23
C1000179,U104206,F1068,5/19/2024 18:12,271
C1000180,U105948,F1293,9/28/2024 16:52,6
C1000181,U107085,F1094,1/2/2024 19:39,202
C1000182,U100744,F1247,4/24/2024 12:18,153
C1000183,U104174,F1257,11/4/2024 4:17,147
C1000184,U109709,F1056,8/4/2024 17:03,279
C1000185,U107198,F1262,12/4/2024 23:29,234
C1000186,U102556,F1207,12/26/2024 4:11,238
C1000187,U105066,F1028,2/6/2024 1:15,277
C1000188,U107797,F1221,7/2/2024 14:56,100
C1000189,U104161,F1161,9/7/2024 15:12,192
C1000190,U109586,F1097,5/2/2024 11:38,233
C1000191,U100286,F1172,12/9/2024 0:25,166
C1000192,U103247,F1126,1/23/2024 20:07,65
C1000193,U105099,F1099,10/7/2024 3:59,62
C1000194,U100003,F1070,10/30/2024 3:12,67
C1000195,U105935,F1185,7/19/2024 12:58,249
C1000196,U100411,F1083,2/10/2024 0:36,62
C1000197,U104345,F1228,11/25/2024 14:37,187
C1000198,U103727,F1288,11/4/2024 19:39,152
C1000199,U101356,F1249,2/8/2024 10:02,64
C1000200,U108349,F1096,8/7/2024 9:24,174
C1000201,U101600,F1217,12/23/2024 0:36,53
C1000202,U107157,F1191,9/9/2024 10:15,277
C1000203,U105706,F1165,10/12/2024 6:44,86
C1000204,U105559,F1011,6/7/2024 7:00,280
C1000205,U107196,F1190,10/27/2024 7:39,71
C1000206,U105073,F1187,4/6/2024 16:23,229
C1000207,U102382,F1275,12/29/2024 3:52,282
C1000208,U100152,F1241,3/24/2024 15:05,64
C1000209,U109821,F1017,8/2/2024 7:13,295
C1000210,U102796,F1261,7/15/2024 16:12,231
C1000211,U107282,F1065,6/2/2024 1:07,292
C1000212,U106951,F1068,11/18/2024 23:33,221
C1000213,U102805,F1126,6/1/2024 5:59,53
C1000214,U104080,F1124,9/24/2024 12:14,81
C1000215,U109247,F1101,8/8/2024 18:36,120
C1000216,U105850,F1213,5/27/2024 20:16,65
C1000217,U107362,F1149,5/15/2024 3:02,270
C1000218,U101328,F1064,11/26/2024 10:23,35
C1000219,U102392,F1227,11/15/2024 13:01,279
C1000220,U103153,F1076,2/4/2024 5:46,213
C1000221,U108192,F1190,2/5/2024 8:10,211
C1000222,U100166,F1140,6/23/2024 16:21,61
C1000223,U103254,F1114,2/14/2024 15:12,197
C1000224,U105060,F1122,1/16/2024 2:26,297
C1000225,U101885,F1239,3/24/2024 16:32,29
C1000226,U104368,F1058,3/8/2024 13:13,266
C1000227,U107529,F1113,5/7/2024 8:54,59
C1000228,U100899,F1081,9/7/2024 1:17,193
C1000229,U102248,F1213,2/25/2024 10:50,241
C1000230,U103412,F1256,4/16/2024 9:51,229
C1000231,U106449,F1008,4/18/2024 5:56,28
C1000232,U109411,F1002,5/2/2024 8:42,34
C1000233,U103132,F1264,8/5/2024 19:31,55
C1000234,U108155,F1277,7/20/2024 9:38,243
C1000235,U108136,F1100,9/30/2024 13:54,175
C1000236,U100359,F1117,7/5/2024 7:24,247
C1000237,U106450,F1079,6/4/2024 10:57,240
C1000238,U107647,F1132,12/15/2024 19:58,133
C1000239,U108525,F1038,3/26/2024 14:54,179
C1000240,U100730,F1002,10/16/2024 0:27,23
C1000241,U107067,F1025,6/30/2024 19:13,196
C1000242,U109689,F1263,4/28/2024 5:45,66
C1000243,U101417,F1051,3/6/2024 17:26,224
C1000244,U107767,F1196,7/28/2024 13:38,9
C1000245,U107888,F1154,9/3/2024 21:14,86
C1000246,U103763,F1213,6/23/2024 16:19,133
C1000247,U109935,F1055,11/15/2024 10:25,175
C1000248,U106928,F1042,9/18/2024 17:29,261
C1000249,U105696,F1026,10/9/2024 10:32,244
C1000250,U100878,F1044,12/30/2024 5:03,168
C1000251,U105482,F1032,5/23/2024 13:38,160
C1000252,U102884,F1126,11/4/2024 20:25,13
C1000253,U102297,F1094,4/6/2024 6:33,56
C1000254,U108852,F1283,7/4/2024 6:45,282
C1000255,U107371,F1108,11/2/2024 10:03,175
C1000256,U103985,F1080,3/16/2024 23:28,272
C1000257,U101269,F1178,5/23/2024 9:37,216
C1000258,U101294,F1191,1/9/2024 0:55,58
C1000259,U101009,F1034,6/17/2024 23:33,50
C1000260,U101757,F1261,11/28/2024 13:27,278
C1000261,U107776,F1220,6/28/2024 2:08,267
C1000262,U109383,F1185,2/23/2024 0:23,201
C1000263,U106578,F1127,2/7/2024 4:26,174
C1000264,U108180,F1269,6/3/2024 19:47,56
C1000265,U109245,F1200,2/14/2024 18:46,70
C1000266,U102841,F1078,8/26/2024 22:48,261
C1000267,U105716,F1229,10/29/2024 18:05,21
C1000268,U102404,F1147,6/21/2024 13:40,125
C1000269,U103562,F1213,2/11/2024 10:02,208
C1000270,U101271,F1123,3/28/2024 9:15,51
C1000271,U109911,F1144,3/31/2024 13:33,76
C1000272,U108444,F1141,7/27/2024 9:22,157
C1000273,U102768,F1025,10/1/2024 22:45,80
C1000274,U109751,F1231,4/24/2024 15:34,37
C1000275,U107801,F1159,6/28/2024 14:29,178
C1000276,U108928,F1231,8/18/2024 10:29,168
C1000277,U106142,F1070,2/20/2024 9:20,44
C1000278,U101928,F1200,6/15/2024 19:45,108
C1000279,U106266,F1267,12/8/2024 1:56,260
C1000280,U105413,F1002,7/23/2024 22:09,44
C1000281,U106828,F1142,9/5/2024 20:27,95
C1000282,U102190,F1136,7/16/2024 9:36,6
C1000283,U101002,F1048,4/22/2024 18:34,245
C1000284,U106654,F1171,7/11/2024 1:54,272
C1000285,U108094,F1080,11/28/2024 23:39,177
C1000286,U106067,F1155,10/11/2024 3:27,130
C1000287,U103752,F1268,4/3/2024 10:50,109
C1000288,U106200,F1020,12/9/2024 17:25,151
C1000289,U104137,F1049,12/27/2024 0:42,115
C1000290,U103702,F1174,1/12/2024 12:53,279
C1000291,U105943,F1113,11/1/2024 9:31,222
C1000292,U104438,F1260,9/9/2024 16:36,50
C1000293,U104427,F1262,8/14/2024 1:27,297
C1000294,U105556,F1292,8/10/2024 1:17,107
C1000295,U108532,F1253,1/16/2024 1:09,248
C1000296,U102388,F1066,2/14/2024 22:06,296
C1000297,U106992,F1102,10/27/2024 17:55,11
C1000298,U106325,F1282,8/31/2024 3:54,195
C1000299,U101700,F1050,12/3/2024 16:34,231
C1000300,U105383,F1175,11/18/2024 2:12,110
C1000301,U101233,F1242,7/7/2024 15:56,193
C1000302,U102298,F1180,2/28/2024 5:37,204
C1000303,U108329,F1210,8/31/2024 15:18,259
C1000304,U102930,F1047,3/22/2024 16:41,106
C1000305,U101833,F1231,6/4/2024 14:44,235
C1000306,U102139,F1265,12/12/2024 22:01,236
C1000307,U108399,F1093,7/30/2024 2:16,50
C1000308,U109879,F1254,4/20/2024 2:00,180
C1000309,U106436,F1085,5/16/2024 19:32,93
C1000310,U102208,F1094,12/9/2024 16:53,116
C1000311,U107553,F1045,11/28/2024 21:33,165
C1000312,U105622,F1035,9/1/2024 4:17,73
C1000313,U109042,F1009,5/29/2024 10:42,98
C1000314,U106286,F1243,11/10/2024 19:58,189
C1000315,U107936,F1026,7/18/2024 16:29,240
C1000316,U103690,F1078,5/15/2024 6:52,248
C1000317,U102609,F1138,9/20/2024 12:43,238
C1000318,U106178,F1031,1/4/2024 2:05,299
C1000319,U100223,F1147,5/21/2024 1:56,254
C1000320,U103774,F1045,2/17/2024 20:26,194
C1000321,U109603,F1059,9/7/2024 15:15,285
C1000322,U107916,F1067,12/29/2024 21:31,188
C1000323,U108514,F1016,11/26/2024 11:13,43
C1000324,U105973,F1064,9/19/2024 4:04,210
C1000325,U109703,F1184,1/16/2024 19:59,221
C1000326,U102086,F1274,4/9/2024 6:56,49
C1000327,U106896,F1004,10/24/2024 19:48,116
C1000328,U107483,F1081,10/3/2024 8:17,152
C1000329,U107663,F1054,6/25/2024 2:11,108
C1000330,U107284,F1003,7/6/2024 3:53,10
C1000331,U105461,F1179,1/2/2024 20:37,82
C1000332,U102287,F1018,2/28/2024 1:13,245
C1000333,U108878,F1130,11/1/2024 9:47,158
C1000334,U109660,F1066,10/10/2024 17:35,82
C1000335,U104835,F1284,12/26/2024 6:45,118
C1000336,U109188,F1180,8/1/2024 3:05,155
C1000337,U102534,F1135,8/10/2024 8:45,93
C1000338,U105530,F1132,8/8/2024 19:20,111
C1000339,U100622,F1063,6/5/2024 13:43,174
C1000340,U101075,F1026,9/24/2024 21:33,207
C1000341,U106876,F1288,10/18/2024 9:44,162
C1000342,U108495,F1281,12/22/2024 9:51,196
C1000343,U108855,F1222,5/25/2024 18:07,157
C1000344,U105237,F1269,2/17/2024 11:20,94
C1000345,U103994,F1031,5/31/2024 18:51,10
C1000346,U102694,F1296,9/12/2024 2:17,261
C1000347,U104304,F1248,1/21/2024 23:01,20
C1000348,U103198,F1141,1/15/2024 16:12,71
C1000349,U105412,F1047,6/12/2024 12:24,84
C1000350,U108710,F1175,11/29/2024 10:03,287
C1000351,U107389,F1293,11/10/2024 14:42,262
C1000352,U104433,F1032,5/6/2024 23:43,29
C1000353,U105909,F1096,1/7/2024 16:18,215
C1000354,U108017,F1023,11/8/2024 7:47,238
C1000355,U103810,F1025,7/30/2024 5:30,93
C1000356,U100912,F1049,5/12/2024 1:12,107
C1000357,U107442,F1169,6/9/2024 17:13,89
C1000358,U104902,F1094,1/29/2024 5:46,298
C1000359,U103188,F1218,9/15/2024 17:01,172
C1000360,U109507,F1140,3/10/2024 0:19,16
C1000361,U103228,F1223,8/5/2024 20:08,161
C1000362,U100571,F1278,10/16/2024 5:37,125
C1000363,U107768,F1164,8/15/2024 17:39,161
C1000364,U105135,F1058,9/21/2024 18:08,100
C1000365,U108289,F1271,9/1/2024 5:42,79
C1000366,U104033,F1294,7/31/2024 1:48,297
C1000367,U101639,F1199,7/14/2024 19:54,243
C1000368,U106443,F1081,7/5/2024 9:24,222
C1000369,U104842,F1249,5/29/2024 10:37,70
C1000370,U105541,F1264,12/9/2024 2:17,194
C1000371,U104027,F1091,12/26/2024 6:49,289
C1000372,U100260,F1277,2/1/2024 4:36,200
C1000373,U109127,F1074,8/21/2024 16:57,102
C1000374,U101797,F1013,3/5/2024 5:28,259
C1000375,U100331,F1214,3/31/2024 23:22,78
C1000376,U104210,F1078,7/25/2024 2:02,220
C1000377,U108459,F1132,2/10/2024 2:24,14
C1000378,U102059,F1224,1/24/2024 23:36,295
C1000379,U100072,F1239,10/27/2024 17:19,244
C1000380,U105111,F1256,7/16/2024 1:41,67
C1000381,U102921,F1141,1/14/2024 23:34,79
C1000382,U103888,F1238,2/14/2024 6:49,149
C1000383,U100177,F1054,5/31/2024 11:58,69
C1000384,U101999,F1016,1/31/2024 1:27,202
C1000385,U108963,F1008,7/18/2024 6:59,56
C1000386,U109137,F1267,1/19/2024 15:41,65
C1000387,U107426,F1121,2/26/2024 18:55,121
C1000388,U104495,F1036,7/28/2024 21:18,193
C1000389,U100269,F1168,1/17/2024 6:58,295
C1000390,U101655,F1259,5/12/2024 13:13,17
C1000391,U102533,F1070,4/21/2024 2:21,183
C1000392,U104982,F1016,5/9/2024 22:53,27
C1000393,U104361,F1101,10/3/2024 8:03,81
C1000394,U106118,F1217,11/22/2024 17:18,38
C1000395,U108696,F1277,6/18/2024 8:02,111
C1000396,U102404,F1295,10/9/2024 18:12,249
C1000397,U102201,F1236,12/6/2024 15:58,15
C1000398,U106019,F1103,12/24/2024 5:39,69
C1000399,U105659,F1132,11/19/2024 14:07,154
C1000400,U101153,F1008,7/17/2024 13:42,45
C1000401,U104161,F1059,12/3/2024 14:53,157
C1000402,U101336,F1275,12/7/2024 17:11,267
C1000403,U108598,F1122,5/8/2024 2:44,158
C1000404,U103478,F1289,8/21/2024 14:22,101
C1000405,U100276,F1124,6/25/2024 5:58,55
C1000406,U106758,F1070,1/26/2024 4:59,28
C1000407,U103480,F1165,6/24/2024 22:23,14
C1000408,U102361,F1031,10/28/2024 12:30,17
C1000409,U105368,F1173,8/24/2024 13:06,22
C1000410,U108652,F1024,7/15/2024 13:36,143
C1000411,U102446,F1160,12/27/2024 21:47,190
C1000412,U109774,F1125,3/29/2024 7:11,25
C1000413,U107601,F1284,11/17/2024 7:07,50
C1000414,U105051,F1186,10/2/2024 17:45,60
C1000415,U103517,F1158,3/21/2024 18:51,12
C1000416,U104802,F1025,2/18/2024 7:56,90
C1000417,U102375,F1062,1/28/2024 15:54,9
C1000418,U107850,F1084,1/25/2024 14:36,146
C1000419,U106744,F1225,10/1/2024 12:13,49
C1000420,U106389,F1176,7/23/2024 14:49,207
C1000421,U106248,F1238,2/4/2024 11:51,190
C1000422,U100971,F1046,5/31/2024 21:51,227
C1000423,U107136,F1277,9/8/2024 14:48,75
C1000424,U109517,F1191,9/12/2024 12:53,111
C1000425,U108344,F1173,8/18/2024 1:01,189
C1000426,U103960,F1159,9/24/2024 18:47,289
C1000427,U103086,F1212,4/6/2024 4:22,207
C1000428,U108921,F1090,12/4/2024 0:34,17
C1000429,U103967,F1233,12/7/2024 13:18,221
C1000430,U104951,F1164,5/10/2024 6:42,54
C1000431,U104002,F1179,5/8/2024 17:23,188
C1000432,U102332,F1108,8/11/2024 4:25,66
C1000433,U109765,F1033,5/30/2024 3:46,104
C1000434,U104375,F1188,7/11/2024 4:24,187
C1000435,U100685,F1220,4/1/2024 19:00,288
C1000436,U103888,F1172,8/6/2024 17:40,200
C1000437,U109771,F1168,3/30/2024 12:50,16
C1000438,U100968,F1065,4/22/2024 11:16,42
C1000439,U107320,F1267,9/10/2024 15:53,27
C1000440,U102033,F1270,3/16/2024 16:28,122
C1000441,U107075,F1125,5/14/2024 23:28,271
C1000442,U105261,F1246,11/9/2024 23:35,142
C1000443,U108959,F1271,12/15/2024 22:40,81
C1000444,U100645,F1258,4/5/2024 20:15,163
C1000445,U104121,F1237,7/27/2024 19:10,176
C1000446,U108112,F1090,2/19/2024 7:52,25
C1000447,U109271,F1215,3/27/2024 22:00,147
C1000448,U106436,F1229,9/22/2024 23:52,238
C1000449,U108828,F1154,12/7/2024 12:17,79
C1000450,U107097,F1163,5/6/2024 14:50,268
C1000451,U108292,F1144,6/9/2024 14:57,102
C1000452,U105586,F1189,3/21/2024 16:06,109
C1000453,U100868,F1128,6/24/2024 8:25,158
C1000454,U105914,F1275,9/28/2024 19:54,25
C1000455,U108213,F1196,5/15/2024 1:58,54
C1000456,U106355,F1191,1/21/2024 7:44,284
C1000457,U101903,F1254,12/16/2024 15:33,228
C1000458,U102576,F1052,12/19/2024 5:23,30
C1000459,U104109,F1108,8/6/2024 18:39,55
C1000460,U104614,F1107,3/22/2024 22:19,148
C1000461,U108014,F1188,1/24/2024 18:34,56
C1000462,U103293,F1280,8/24/2024 22:42,254
C1000463,U101935,F1028,8/7/2024 5:39,250
C1000464,U100615,F1114,11/3/2024 18:20,148
C1000465,U105057,F1034,6/12/2024 20:58,167
C1000466,U108478,F1159,9/17/2024 10:43,286
C1000467,U101923,F1126,5/31/2024 23:06,191
C1000468,U106455,F1035,1/19/2024 11:10,83
C1000469,U107604,F1070,7/2/2024 8:51,88
C1000470,U108152,F1097,6/28/2024 17:37,137
C1000471,U102773,F1096,10/7/2024 6:45,187
C1000472,U105193,F1025,2/17/2024 5:15,81
C1000473,U109184,F1175,10/27/2024 4:41,239
C1000474,U109776,F1175,9/19/2024 13:14,242
C1000475,U101903,F1012,2/22/2024 11:45,252
C1000476,U109067,F1157,8/4/2024 7:04,241
C1000477,U100143,F1223,8/19/2024 18:51,168
C1000478,U107496,F1224,1/30/2024 7:18,40
C1000479,U102256,F1193,8/6/2024 7:25,234
C1000480,U109314,F1124,3/3/2024 2:13,240
C1000481,U100699,F1006,12/16/2024 10:20,43
C1000482,U106318,F1285,6/6/2024 5:44,168
C1000483,U100270,F1237,6/3/2024 4:03,118
C1000484,U108254,F1054,10/2/2024 17:11,11
C1000485,U101007,F1217,10/2/2024 7:54,107
C1000486,U107203,F1216,12/23/2024 20:43,153
C1000487,U103724,F1169,7/21/2024 1:20,275
C1000488,U106599,F1005,3/24/2024 22:43,92
C1000489,U109484,F1263,2/22/2024 10:06,191
C1000490,U106487,F1127,3/11/2024 8:11,173
C1000491,U107917,F1074,4/5/2024 5:36,27
C1000492,U104509,F1215,12/18/2024 1:03,272
C1000493,U105400,F1039,5/4/2024 2:38,140
C1000494,U104320,F1183,11/28/2024 11:23,243
C1000495,U109369,F1079,2/28/2024 15:29,294
C1000496,U105472,F1272,1/10/2024 21:26,24
C1000497,U107206,F1295,2/9/2024 21:29,103
C1000498,U106872,F1103,7/2/2024 18:07,229
C1000499,U107923,F1008,9/4/2024 7:10,157
C1000500,U104716,F1137,4/19/2024 3:43,108
C1000501,U107118,F1048,6/26/2024 13:31,185
C1000502,U102620,F1157,11/30/2024 19:56,148
C1000503,U102536,F1264,4/7/2024 18:42,237
C1000504,U105103,F1173,4/8/2024 7:10,248
C1000505,U107080,F1281,5/6/2024 3:02,106
C1000506,U105317,F1191,8/16/2024 6:33,42
C1000507,U101195,F1161,3/24/2024 9:03,229
C1000508,U108699,F1226,12/8/2024 7:59,148
C1000509,U100404,F1127,3/31/2024 7:58,241
C1000510,U101294,F1026,7/21/2024 10:13,157
C1000511,U106054,F1083,2/1/2024 6:22,111
C1000512,U103625,F1215,8/29/2024 2:47,268
C1000513,U107868,F1168,4/29/2024 13:28,273
C1000514,U102819,F1082,10/2/2024 10:06,275
C1000515,U104759,F1017,9/18/2024 11:13,265
C1000516,U105745,F1298,6/10/2024 19:49,299
C1000517,U107564,F1040,10/25/2024 12:39,17
C1000518,U103637,F1017,3/14/2024 21:19,101
C1000519,U101873,F1188,5/31/2024 9:59,23
C1000520,U101406,F1199,4/23/2024 6:15,100
C1000521,U105514,F1052,8/30/2024 21:03,70
C1000522,U101577,F1079,1/13/2024 3:13,125
C1000523,U107772,F1268,4/3/2024 4:01,212
C1000524,U105379,F1281,2/28/2024 6:09,265
C1000525,U105311,F1111,5/18/2024 12:35,53
C1000526,U108828,F1089,1/24/2024 7:38,62
C1000527,U105547,F1246,5/4/2024 7:04,109
C1000528,U100807,F1055,5/31/2024 8:28,258
C1000529,U102395,F1188,11/20/2024 7:34,298
C1000530,U104524,F1148,11/16/2024 23:10,60
C1000531,U101415,F1263,11/25/2024 13:04,165
C1000532,U107508,F1224,12/5/2024 11:05,6
C1000533,U102449,F1191,3/5/2024 21:55,164
C1000534,U103496,F1069,3/23/2024 17:00,16
